CONTAINER_NO,VESSEL,MCHN_ID,MCHN_TP_CD,JOB_TYPE,FULL_EMPTY,BLOCK_BAY,JOB_END_DT
container70,ship0,TC255,TC,DS-YARDSIDE,F,3.00E-40,2018-01-31 4:30
container70,ship0,YT513,YT,DS-MOVE,F,3.00E-40,2018-01-31 4:28
container71,ship0,GC101,GC,LD-QUAYSIDE,F,1B-02,2018-01-31 12:28
container71,ship0,TC221,TC,LD-YARDSIDE,F,1B-02,2018-01-31 12:25
container71,ship0,YT501,YT,LD-MOVE,F,1B-02,2018-01-31 12:26
container72,ship0,GC103,QC,DS-QUAYSIDE,F,1.00E-84,2018-01-31 7:54
container72,ship0,TC252,TC,DS-YARDSIDE,F,1.00E-84,2018-01-31 8:00
container72,ship0,YT502,YT,DS-MOVE,F,1.00E-84,2018-01-31 7:58
container73,ship0,GC104,QC,DS-QUAYSIDE,F,2D-46,2018-01-31 23:16
container73,ship0,TC243,TC,DS-YARDSIDE,F,2D-46,2018-01-31 23:29
container73,ship0,YT565,YT,DS-MOVE,F,2D-46,2018-01-31 23:27
container74,ship0,GC102,QC,DS-QUAYSIDE,F,2B-02,2018-01-31 16:29
container74,ship0,TC223,TC,DS-YARDSIDE,F,2B-02,2018-01-31 16:35
container74,ship0,YT522,YT,DS-MOVE,F,2B-02,2018-01-31 16:33
container75,ship0,GC103,QC,DS-QUAYSIDE,F,3A-10,2018-01-31 21:07
container75,ship0,TC215,TC,DS-YARDSIDE,F,3A-10,2018-01-31 21:15
container75,ship0,YT567,YT,DS-MOVE,F,3A-10,2018-01-31 21:14
container76,ship0,GC103,QC,DS-QUAYSIDE,F,2F-82,2018-01-31 4:02
container76,ship0,TC264,TC,DS-YARDSIDE,F,2F-82,2018-01-31 4:36
container76,ship0,YT501,YT,DS-MOVE,F,2F-82,2018-01-31 4:35
container77,ship0,GC102,QC,DS-QUAYSIDE,F,1.00E-84,2018-01-31 12:09
container77,ship0,TC252,TC,DS-YARDSIDE,F,1.00E-84,2018-01-31 12:16
container77,ship0,YT578,YT,DS-MOVE,F,1.00E-84,2018-01-31 12:14
container78,ship0,GC106,GC,LD-QUAYSIDE,F,2.00E-86,2018-01-31 20:51
container78,ship0,TC254,TC,LD-YARDSIDE,F,2.00E-86,2018-01-31 20:46
container78,ship0,YT566,YT,LD-MOVE,F,2.00E-86,2018-01-31 20:49
container79,ship0,GC104,QC,DS-QUAYSIDE,F,3B-28,2018-01-31 4:43
container79,ship0,TC225,TC,DS-YARDSIDE,F,3B-28,2018-01-31 4:50
container79,ship0,YT518,YT,DS-MOVE,F,3B-28,2018-01-31 4:49
container80,ship0,GC105,QC,DS-QUAYSIDE,F,2D-14,2018-01-31 4:52
container80,ship0,TC243,TC,DS-YARDSIDE,F,2D-14,2018-01-31 5:06
container80,ship0,YT511,YT,DS-MOVE,F,2D-14,2018-01-31 5:04
container81,ship0,GC106,GC,LD-QUAYSIDE,F,2.00E-86,2018-01-31 22:38
container81,ship0,TC254,TC,LD-YARDSIDE,F,2.00E-86,2018-01-31 22:35
container81,ship0,YT585,YT,LD-MOVE,F,2.00E-86,2018-01-31 22:36
container82,ship0,GC106,GC,LD-QUAYSIDE,F,2.00E-86,2018-01-31 23:11
container82,ship0,TC254,TC,LD-YARDSIDE,F,2.00E-86,2018-01-31 23:07
container82,ship0,YT582,YT,LD-MOVE,F,2.00E-86,2018-01-31 23:10
container83,ship0,GC107,QC,DS-QUAYSIDE,M,1D-66,2018-01-31 10:50
